# Stellar spectrum generated with Kurucz-Korg pipeline
# Teff=5777.0 K, logg=4.44, [Fe/H]=0.0, [α/Fe]=0.0
# Wavelength(Angstrom)  Flux  Continuum
9158.0  3.820920139595945e6  3.8232658364681765e6
9158.5  3.8048221984674986e6  3.822850355587643e6
9159.0  3.818621911900216e6  3.8224349157094457e6
9159.5  3.7829601796873845e6  3.8220198687785594e6
9160.0  3.816806100293088e6  3.8216048627602383e6
9160.5  3.8198322097982783e6  3.8211899676916855e6
9161.0  3.620818056563928e6  3.8207751138324477e6
9161.5  3.8198962043045955e6  3.820360298159995e6
9162.0  3.819473188822691e6  3.819945523669023e6
9162.5  3.8190539578280533e6  3.819531547948078e6
9163.0  3.8186324327638214e6  3.81911761307416e6
9163.5  3.8118069598550587e6  3.8187037074914044e6
9164.0  3.816703917939787e6  3.8182898425229257e6
9164.5  3.8156511762706214e6  3.8178760932995784e6
9165.0  3.8158659778026175e6  3.817462384724062e6
9165.5  3.8165221638487964e6  3.817048871304961e6
9166.0  3.8156799700795813e6  3.8166353988521514e6
9166.5  3.471529582165951e6  3.8162219553595213e6
9167.0  3.6442558948747627e6  3.8158085527372602e6
9167.5  3.8088719290646208e6  3.8153951725946493e6
9168.0  3.8130078920905394e6  3.814981833264836e6
9168.5  3.813680576234352e6  3.8145685134601975e6
9169.0  3.813603875163705e6  3.814155234246006e6
9169.5  3.8090708407023815e6  3.8137419845466195e6
9170.0  3.7813139700262095e6  3.813328775563878e6
9170.5  3.812055485048287e6  3.8129155768476133e6
9171.0  3.8113759969167914e6  3.8125024193562684e6
9171.5  3.8099962350380663e6  3.812089278476605e6
9172.0  3.7997802445518994e6  3.8116761784137543e6
9172.5  3.8080169669804526e6  3.8112631077217264e6
9173.0  3.8004545036393655e6  3.8108500778939356e6
9173.5  3.80505323650227e6  3.8104370964145237e6
9174.0  3.808809294684154e6  3.810024155742557e6
9174.5  3.8086122578853527e6  3.8096114825457176e6
9175.0  3.808100319187476e6  3.809198849879558e6
9175.5  3.8034083253571913e6  3.8087862464666287e6
9176.0  3.8014755952544287e6  3.8083736840508077e6
9176.5  3.5591346526153944e6  3.8079610751666278e6
9177.0  3.806373651818983e6  3.807548507336777e6
9177.5  3.805617984875395e6  3.807135967990345e6
9178.0  3.803559665420223e6  3.806723469452386e6
9178.5  3.7621398478100374e6  3.8063109835006655e6
9179.0  3.8035236605237564e6  3.805898538228245e6
9179.5  3.8041834451907207e6  3.8054860476764617e6
9180.0  3.8039644033080386e6  3.8050735979112415e6
9180.5  3.792235195327638e6  3.804661177573982e6
9181.0  3.7966406495139874e6  3.8042487979125264e6
9181.5  3.3168429827503907e6  3.8038363620306742e6
9182.0  3.771208845716415e6  3.803423967056061e6
9182.5  3.8009076975682e6  3.803011457562272e6
9183.0  3.8015037465686593e6  3.8025989888813496e6
9183.5  3.7668261479579564e6  3.802186548945694e6
9184.0  3.800480059877111e6  3.801774150457171e6
9184.5  3.799917782336652e6  3.801363482828809e6
9185.0  3.7979092307683346e6  3.8009528558028103e6
9185.5  3.771891854858977e6  3.8005435788444565e6
9186.0  3.7984034022504045e6  3.8001343419827777e6
9186.5  3.798310441771824e6  3.7997251124405605e6
9187.0  3.7979487818694524e6  3.7993159231372974e6
9187.5  3.7975353214678657e6  3.798906828852658e6
9188.0  3.797103983408206e6  3.7984977746832394e6
9188.5  3.794886504076447e6  3.798088756393686e6
9189.0  3.7776522190374946e6  3.797679778335811e6
9189.5  3.795525582382622e6  3.7972708063203576e6
9190.0  3.7913020318859075e6  3.796861874457835e6
9190.5  3.791020695469432e6  3.7964518971551037e6
9191.0  3.7944091686425256e6  3.796041960152432e6
9191.5  3.7939558354461086e6  3.795631965237778e6
9192.0  3.7886735397643433e6  3.795222010823189e6
9192.5  3.7930358477024175e6  3.7948122243783493e6
9193.0  3.792571556962294e6  3.794402478588016e6
9193.5  3.7921040882419487e6  3.793992116043172e6
9194.0  3.791600382993263e6  3.793581793691131e6
9194.5  3.7896018662581136e6  3.7931715008678962e6
9195.0  3.7906875897188853e6  3.792761248363169e6
9195.5  3.790208435496292e6  3.7923508446769724e6
9196.0  3.7897261284415214e6  3.791940481173206e6
9196.5  3.7892401884422875e6  3.7915297073855605e6
9197.0  3.788736314670918e6  3.79111897408366e6
9197.5  3.7882591130752047e6  3.7907082705203425e6
9198.0  3.7877632449976634e6  3.7902976080008387e6
9198.5  3.787263080475907e6  3.789886856453601e6
9199.0  3.7867419689017176e6  3.789476145676522e6
9199.5  3.785300370699069e6  3.789065330555114e6
9200.0  3.784952921526516e6  3.788654556061698e6
9200.5  3.785058634855942e6  3.78824381079208e6
9201.0  3.7843263023346295e6  3.7878331066135727e6
9201.5  3.782621591623593e6  3.7874224404220353e6
9202.0  2.7867045541513115e6  3.7870118148695556e6
9202.5  3.7818783577373475e6  3.786601223633904e6
9203.0  3.7710543440611907e6  3.786190673251656e6
9203.5  3.7818286537541742e6  3.78578015250837e6
9204.0  3.779395961162717e6  3.785369672416482e6
9204.5  3.7807725174563807e6  3.784959305410088e6
9205.0  3.7799483836835492e6  3.784548979440683e6
9205.5  3.770567881925045e6  3.784138701381605e6
9206.0  3.777898341071176e6  3.7837284642326003e6
9206.5  3.776967131160812e6  3.7833182565903757e6
9207.0  3.7776265104532107e6  3.7829080900060036e6
9207.5  3.7768534946363196e6  3.7824978584746146e6
9208.0  3.7760931469459557e6  3.782087667659793e6
9208.5  3.7734327636083052e6  3.7816775057848343e6
9209.0  3.7715532220566855e6  3.7812673848869577e6
9209.5  3.7695247801341964e6  3.780857298441967e6
9210.0  3.7724985838064603e6  3.7804472529097064e6
9210.5  3.765111402977926e6  3.780037274262043e6
9211.0  3.6910974521633e6  3.7796273364360537e6
9211.5  3.7686333604578557e6  3.779217812654344e6
9212.0  3.766344289792916e6  3.778808329854891e6
9212.5  2.3052735528149037e6  3.7783999352480937e6
9213.0  3.761759715308896e6  3.7779915809937078e6
9213.5  3.5866263697581314e6  3.777585329861482e6
9214.0  3.762364634132525e6  3.7771791186648556e6
9214.5  3.757350191739012e6  3.7767729098761464e6
9215.0  3.722905980487011e6  3.776366740944112e6
9215.5  2.7409395685476493e6  3.775959955034971e6
9216.0  3.7449459691856205e6  3.7755532094371356e6
9216.5  3.745810440788745e6  3.7751458710877593e6
9217.0  3.189513394298472e6  3.7747385735441884e6
9217.5  3.3629106351548177e6  3.7743312980537955e6
9218.0  3.7568241901747575e6  3.7739240630189707e6
9218.5  3.755586554720352e6  3.7735186901277984e6
9219.0  3.7539347566851797e6  3.7731133568342077e6
9219.5  3.6815038488241076e6  3.7727089397901744e6
9220.0  3.598936862861244e6  3.772304562303179e6
9220.5  3.735538471240077e6  3.771900289588853e6
9221.0  3.7164501414157655e6  3.7714960564164333e6
9221.5  3.7433392909493246e6  3.771088574907938e6
9222.0  3.742120558004244e6  3.7706811336933225e6
9222.5  3.7397261666873544e6  3.7702730697923596e6
9223.0  3.737026315852766e6  3.769865046303755e6
9223.5  3.7284830435864306e6  3.7694570534517327e6
9224.0  3.7294224072412224e6  3.769049101073364e6
9224.5  3.726291409831469e6  3.7686413056252412e6
9225.0  3.7214777235353026e6  3.7682335509865857e6
9225.5  3.7164739456616146e6  3.7678258265060396e6
9226.0  3.7105175317378202e6  3.7674181424450236e6
9226.5  3.6965865767587256e6  3.7670104696622915e6
9227.0  3.6951879087925777e6  3.7666028376516867e6
9227.5  3.6865932592907264e6  3.766195135907621e6
9228.0  3.645619288203417e6  3.7657874747441937e6
9228.5  3.659931461249128e6  3.7653798442964763e6
9229.0  3.640962664521533e6  3.7649722540460783e6
9229.5  3.6237107338604657e6  3.7645646502462314e6
9230.0  3.593837227660357e6  3.7641570871766005e6
9230.5  3.2578753368659345e6  3.7637494320841124e6
9231.0  3.518152914638762e6  3.76334181767305e6
9231.5  3.50154184690251e6  3.762934234099899e6
9232.0  3.518589047181677e6  3.7625266910704863e6
9232.5  3.553143343082607e6  3.762118844002161e6
9233.0  3.585853864846494e6  3.761711037544928e6
9233.5  3.6129657870550887e6  3.761302891093617e6
9234.0  3.634564068548914e6  3.760894785688205e6
9234.5  3.6506347124709333e6  3.760486708124312e6
9235.0  3.665132399316039e6  3.760078671566369e6
9235.5  3.6755614677383034e6  3.7596705781265115e6
9236.0  3.6827162865127265e6  3.7592625253089643e6
9236.5  3.6930090379316844e6  3.758854450603172e6
9237.0  3.6948579669034765e6  3.7584464167018686e6
9237.5  3.7045908124876777e6  3.7580384101787275e6
9238.0  3.708705501911657e6  3.7576304446720034e6
9238.5  3.7120639429868944e6  3.7572224769972484e6
9239.0  3.7135905711918483e6  3.7568145500008995e6
9239.5  3.64738446459577e6  3.7564068939878093e6
9240.0  2.7313330291527607e6  3.7559992787732882e6
9240.5  3.495955166701767e6  3.755591690142287e6
9241.0  3.7217240024546445e6  3.75518414277234e6
9241.5  3.7265418142317026e6  3.7547771892978437e6
9242.0  3.7275782147384924e6  3.7543702762220353e6
9242.5  3.7302647106011715e6  3.753963430892162e6
9243.0  3.7316621356568793e6  3.7535566264457456e6
9243.5  3.733009329367577e6  3.753149893829392e6
9244.0  3.733930451619843e6  3.75274320224574e6
9244.5  3.73447411869206e6  3.752336972418058e6
9245.0  3.7233850072695855e6  3.751930782960665e6
9245.5  3.73570015014992e6  3.7515246245172312e6
9246.0  3.7171130165601107e6  3.751118506728122e6
9246.5  3.7315906539157815e6  3.7507124365949645e6
9247.0  3.7220367440242157e6  3.7503064069070164e6
9247.5  3.7359496173180533e6  3.749900462541399e6
9248.0  3.734801031117105e6  3.7494945585625777e6
9248.5  3.715835171015357e6  3.749088943034236e6
9249.0  3.032294788051414e6  3.748683367578614e6
9249.5  3.732004025254743e6  3.7482782862771577e6
